,name,album,artist,id,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,track_genre,mood_Calm,mood_Energetic,mood_Happy,mood_Sad
768,Memories (Acoustic),Memories (Acoustic),Ben Woodward,1m3Lsbhkn6yL8apzsCiukd,46,183337,0.802,0.809,0.183,0.0,0.109,0.664,-17.1,0.403,91.078,8,4,acoustic,0.009782732,0.00041182069,0.0070061483,0.9827993
1001,Ainda Há Tempo,Ainda Há Tempo,Criolo,4Ds4bq6aqOSAp1T7DikOi4,44,318360,0.58,0.281,0.8,0.0,0.0708,0.483,-7.528,0.345,81.303,6,4,afrobeat,0.0011090053,0.055663485,0.20095019,0.7422773
1012,Breaco,Ainda Há Tempo,Criolo,0J4hFHpfCAlJOdrtcm04vz,40,177240,0.619,0.148,0.781,0.0,0.183,0.728,-6.548,0.333,182.026,1,4,afrobeat,1.3790367e-07,0.61511964,0.3775082,0.007371987
1014,É o Teste,Ainda Há Tempo,Criolo,7cAxwshLN1yidrBlDePrYW,41,279720,0.66,0.178,0.728,0.0,0.0516,0.594,-6.177,0.337,91.101,10,4,afrobeat,0.00016982424,0.08202274,0.35833785,0.5594696
1091,Grajauex - Live,Criolo E Emicida Ao Vivo (Live),Criolo;Emicida,0UZ3juSCFsN6lINBadUZNZ,33,191453,0.358,0.304,0.905,0.0,0.454,0.468,-5.776,0.453,176.67,5,4,afrobeat,2.727626e-08,0.8482686,0.15040259,0.001328849
1279,Los De Atrás Vienen Conmigo,Los De Atrás Vienen Conmigo,Calle 13,2gDu2SBfDxy3s7eElrPs6Q,26,216093,0.641,0.208,0.66,0.0,0.128,0.549,-5.595,0.357,169.881,2,4,afrobeat,4.8323673e-06,0.4705367,0.45736974,0.07208876
1381,Lontano lontano - Cara B,Cara B,Jorge Drexler,20noxTXbVTYkDPmVSklVrw,22,231493,0.7,0.862,0.344,0.00386,0.138,0.473,-20.913,0.477,89.845,0,4,afrobeat,0.062907286,0.00023375003,0.002140908,0.934718
1407,Mbila - João Selva Remix,Mbila (João Selva Remix),Les Mamans du Congo;RROBIN;João Selva,1gW5zzEe41Hdbd3l1CYllP,20,242355,0.821,0.0299,0.769,0.0,0.0718,0.606,-9.618,0.412,123.904,11,4,afrobeat,1.8349028e-05,0.16686681,0.40867007,0.4244448
1620,Good Vibration - Village Cuts Remix,Tradition Remixed,Soothsayers;Village Cuts,2vtsCV5XDM4nuBKD0d17mK,18,299124,0.86,0.268,0.676,0.134,0.094,0.602,-9.245,0.363,94.025,0,4,afrobeat,6.455023e-05,0.06595729,0.35358736,0.5803909
1642,Motives - What Have We Come Here to Do Church?,Motives - What Have We Come Here to Do Church?,Eddie Neblett,5tSJNsX4IOsnkjvwq7DGYg,18,196259,0.715,0.377,0.698,0.0,0.0803,0.661,-5.12,0.357,84.653,1,4,afrobeat,6.61751e-05,0.080537505,0.38638863,0.5330078
1746,Jonaz Goes to Hollywood,All U Need Is Mosh,Plastilina Mosh,4ApDoilVOSDv95B0pssAHy,21,244786,0.677,0.178,0.925,6.78e-06,0.186,0.396,-5.607,0.343,102.52,4,4,afrobeat,4.799574e-06,0.61432034,0.35106203,0.034612875
1763,Life,In Full Bloom,Sharyn;Triple O,2C68iHWkQU0S8O2F1F0nqy,17,249102,0.666,0.0722,0.565,0.0,0.104,0.263,-9.782,0.389,180.071,1,4,afrobeat,0.00018319633,0.37026966,0.2572122,0.37233487
