,name,album,artist,id,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,track_genre_split,mood_Calm,mood_Energetic,mood_Happy,mood_Sad
0,I Know You Want Me (Calle Ocho),Pitbull Starring In Rebelution,Pitbull,spotify:track:6a8GbQIlV8HBUW3c6Uk9PH,64,237120,0.825,0.0142,0.743,2.12e-05,0.237,0.8,-5.995,0.149,127.045,2.0,4.0,"['dance pop', 'miami hip hop', 'pop']",0.0016391835,0.7588292,0.2394763,5.5290977e-05
1,Apeman - 2014 Remastered Version,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)",The Kinks,spotify:track:1NXUWyPJk5kO6DQJ5t7bDu,42,233400,0.683,0.568,0.728,5.08e-05,0.0384,0.833,-8.92,0.259,75.311,9.0,4.0,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']",0.0130180735,0.8468866,0.13979045,0.00030492668
2,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",spotify:track:0d2iYfpKoM0QCKvcLCkBao,78,173799,0.56,0.555,0.68,0.0,0.116,0.319,-7.648,0.321,89.391,6.0,4.0,"['pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'pop', 'pop r&b']",0.002080271,0.85942394,0.13843347,6.227603e-05
3,Mercy,Illuminate (Deluxe),Shawn Mendes,spotify:track:3OalxlWH0v14kyBcNBMINt,0,208733,0.562,0.113,0.681,0.0,0.11,0.357,-4.934,0.0871,148.064,11.0,4.0,"['canadian pop', 'pop', 'viral pop']",0.0056268554,0.60634,0.38311744,0.004915712
4,It's Like That,The Greatest Hits,"Run–D.M.C., Jason Nevins",spotify:track:0CtkjgZpkgnW7U6WmHsakD,68,250626,0.852,0.0168,0.874,0.45,0.133,0.666,-11.208,0.0427,129.029,7.0,4.0,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']",0.34888202,0.2601117,0.13717781,0.25382847
5,Here Without You,Away From The Sun,3 Doors Down,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,80,238733,0.557,0.0492,0.533,0.0,0.205,0.233,-6.817,0.0252,143.994,10.0,4.0,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",0.041253522,0.08751254,0.46945867,0.4017752
7,Sing,x (Deluxe Edition),Ed Sheeran,spotify:track:6K8qKeWo5MsFED7wCR6Kop,73,235382,0.818,0.304,0.67,1.22e-06,0.0601,0.939,-4.451,0.0472,119.988,8.0,4.0,"['pop', 'singer-songwriter pop', 'uk pop']",0.11419168,0.11700578,0.7620757,0.0067268466
8,Flava,Yours,Nathaniel,spotify:track:2760p399WNJLX9LGBkjL4Z,5,185266,0.813,0.166,0.754,0.0,0.121,0.923,-3.911,0.0494,112.962,4.0,4.0,"['australian pop', 'australian talent show']",0.015166823,0.61976635,0.36295846,0.002108343
9,Baby Sittin' Boogie - Radio Version,Rock & Roll 50s & 60s Mix,Buzz Clifford,spotify:track:5yJCo7EewUcX9qj5nnk9O2,6,122958,0.483,0.805,0.533,0.0,0.161,0.878,-9.883,0.145,140.11,6.0,4.0,[],0.07503283,0.01000786,0.71668935,0.19826993
10,Dr. Love,Dance Little Lady,Tina Charles,spotify:track:2uiyVyP0Rvl0MgB8ehoc07,15,189320,0.736,0.0165,0.563,0.0,0.166,0.96,-13.837,0.0312,102.021,2.0,4.0,"['disco', 'hi-nrg']",0.39956522,0.002779145,0.5533591,0.04429647
11,Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),"Glee Cast, Gwyneth Paltrow",spotify:track:2J22VgQALSoekF3KCj1nIk,0,226760,0.637,0.434,0.416,0.0,0.139,0.588,-7.595,0.0269,145.922,2.0,4.0,"['glee club', 'post-teen pop']",0.45360324,0.018928753,0.17816637,0.34930158
12,I'm Free,20 Golden Greats,"The Soup Dragons, Junior Reid",spotify:track:1O0BTayCdWgQYAYYUynSpe,0,211693,0.648,0.0981,0.936,2.24e-05,0.0712,0.856,-5.968,0.0797,103.272,7.0,4.0,"['britpop', 'c86', 'madchester', 'scottish indie', 'lovers rock', 'old school dancehall', 'reggae', 'reggae fusion', 'roots reggae']",0.038437694,0.6523098,0.3032055,0.0060471385
13,"Writing's On The Wall - From ""Spectre"" Soundtrack",Writing's On The Wall,Sam Smith,spotify:track:1PWnAEQcbwQwK759otUbta,68,278987,0.261,0.769,0.302,2.57e-06,0.0863,0.0883,-8.19,0.0339,81.418,5.0,3.0,"['pop', 'uk pop']",0.24738199,6.094316e-06,0.0015050744,0.75110686
14,Take Yourself Home,Take Yourself Home,Troye Sivan,spotify:track:6YndZBGmLySgsVScckWkmO,0,249369,0.364,0.0748,0.606,0.000322,0.106,0.289,-9.188,0.0831,99.73,5.0,4.0,"['australian pop', 'pop', 'viral pop']",0.54397553,0.042104065,0.03523239,0.37868798
15,Give It Up,All In a Night's Work (Expanded Version),KC & The Sunshine Band,spotify:track:3yDhZq8f17SmumVmEyCaRN,73,254240,0.862,0.0192,0.624,0.000153,0.0465,0.882,-11.63,0.0565,124.896,3.0,4.0,"['disco', 'mellow gold', 'new wave pop', 'soft rock', 'soul']",0.08077041,0.1888906,0.7184232,0.011915839
16,Homecoming,Hold On Tight,Hey Monday,spotify:track:4X8KnalmdKJE4C0vMb8CmD,47,238733,0.393,0.00966,0.958,0.0,0.214,0.323,-2.102,0.0871,150.074,2.0,4.0,"['candy pop', 'neon pop punk', 'pixie', 'pop emo', 'pop punk']",0.015944272,0.7451387,0.20799755,0.030919494
17,Funhouse - Main Version - Clean,La Guestlist,P!nk,spotify:track:5ibhWB91OHgTVVwtVFMLKP,24,203933,0.789,0.00616,0.84,0.0,0.0646,0.821,-4.059,0.0361,103.957,11.0,4.0,"['dance pop', 'pop']",0.014376941,0.5845491,0.39990813,0.0011657792
20,That's All You Gotta Do,"Ultimate Collection, Vol. 1",Brenda Lee,spotify:track:71kj6vbwfqjThqsDxhtYPE,9,145480,0.587,0.381,0.65,1.01e-06,0.105,0.96,-5.732,0.0283,98.137,1.0,4.0,"['adult standards', 'easy listening', 'lounge', 'rockabilly']",0.27766484,0.018324545,0.5334548,0.1705559
21,Its Alright,Delicious,Deni Hines,spotify:track:4oX4WNqPhgKQrl5W4tdt7V,44,213360,0.66,0.0808,0.88,3.48e-06,0.15,0.862,-5.338,0.0375,103.395,11.0,4.0,"['australian dance', 'australian pop']",0.08851171,0.13172348,0.76397544,0.015789427
22,Wrecking Ball,Wrecking Ball,Miley Cyrus,spotify:track:6oDPg7fXW3Ug3KmbafrXzA,0,223240,0.466,0.395,0.403,0.0,0.111,0.337,-6.142,0.0337,119.81,5.0,4.0,['pop'],0.30313152,0.01880074,0.08507369,0.59299403
23,Deep End,Beautiful Lies (Deluxe),Birdy,spotify:track:1PZ5mBtpRXZj8aMgQQYcro,35,208840,0.455,0.761,0.296,0.0,0.0783,0.31,-8.513,0.0399,171.744,2.0,4.0,"['neo mellow', 'uk pop']",0.4192374,0.008567451,0.118136786,0.4540583
24,Stay The Night - Featuring Hayley Williams Of Paramore,Clarity (Deluxe),"Zedd, Hayley Williams",spotify:track:4bT2zLVv2T4GiK9q9KtI0v,67,217346,0.596,0.109,0.738,0.0,0.0947,0.461,-3.109,0.0411,127.961,8.0,4.0,"['complextro', 'edm', 'german techno', 'pop', 'pop dance', 'art pop']",0.023110157,0.64072096,0.31638014,0.01978877
25,Regardless,Thirty One,"Jarryd James, Julia Stone",spotify:track:1kpbM1hlD3sQ2rDKbe2guE,30,273493,0.672,0.551,0.393,1.05e-05,0.105,0.319,-8.739,0.0477,130.086,9.0,4.0,"['australian alternative pop', 'australian r&b', 'australian singer-songwriter']",0.4658424,0.00598156,0.1611457,0.36703035
26,You Know I'm No Good,Back To Black,Amy Winehouse,spotify:track:4SyowQi18ym4zJGJDBnsTj,0,256946,0.705,0.0132,0.806,0.00428,0.0701,0.734,-3.607,0.0309,103.383,9.0,4.0,"['british soul', 'neo soul']",0.0364084,0.58075243,0.37724602,0.005593082
27,Turn Around (feat. Ne-Yo),Turn Around (feat. Ne-Yo),"Conor Maynard, Ne-Yo",spotify:track:56qykFnmErHuUzt7FwAlAc,31,232385,0.59,0.0179,0.874,6.46e-06,0.134,0.607,-2.583,0.0263,125.018,6.0,4.0,"['post-teen pop', 'uk pop', 'viral pop', 'dance pop', 'pop', 'r&b', 'urban contemporary']",0.03291681,0.68556863,0.23247966,0.04903495
28,Morning After Dark (Featuring Nelly Furtado & SoShy),Shock Value II (International Deluxe version),Timbaland,spotify:track:1Jrn6agPxzgRMh4SKfLz7A,0,231960,0.734,0.076,0.927,0.00134,0.0465,0.901,-4.244,0.042,118.039,8.0,4.0,"['dance pop', 'pop', 'pop rap']",0.033668093,0.6916596,0.27103913,0.0036331313
29,Somebody That I Used To Know,Making Mirrors,"Gotye, Kimbra",spotify:track:1qk9ujVgudgU8CyhKOx8ji,67,244893,0.864,0.571,0.515,7.92e-05,0.0947,0.755,-6.967,0.0367,129.048,0.0,4.0,"['australian pop', 'bergen indie', 'electropop', 'nz pop']",0.24340509,0.085446924,0.6019646,0.06918337
