,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,Album Release Year
1,spotify:track:6a8GbQIlV8HBUW3c6Uk9PH,I Know You Want Me (Calle Ocho),spotify:artist:0TnOYISbd1XYRBk9myaseg,Pitbull,spotify:album:5xLAcbvbSAlRtPXnKkggXA,Pitbull Starring In Rebelution,spotify:artist:0TnOYISbd1XYRBk9myaseg,Pitbull,2009-10-23,https://i.scdn.co/image/ab67616d0000b27326d73ab8423a350faa5d395a,1,3,237120,https://p.scdn.co/mp3-preview/d6f8883fc955cb0ecb7f3e1e06e77a9d8611158d?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,USJAY0900144,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,miami hip hop,pop",0.825,0.743,2.0,-5.995,1.0,0.149,0.0142,2.12e-05,0.237,0.8,127.045,4.0,,Mr.305/Polo Grounds Music/J Records,"P (P) 2009 RCA/JIVE Label Group, a unit of Sony Music Entertainment",2009
3,spotify:track:1NXUWyPJk5kO6DQJ5t7bDu,Apeman - 2014 Remastered Version,spotify:artist:1SQRv42e4PjEYfPhS0Tk9E,The Kinks,spotify:album:6lL6HugNEN4Vlc8sj0Zcse,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)",spotify:artist:1SQRv42e4PjEYfPhS0Tk9E,The Kinks,2014-10-20,https://i.scdn.co/image/ab67616d0000b2731e7c5307ccbbb74101e0cc77,1,11,233400,https://p.scdn.co/mp3-preview/c4df3a832509cc5506bd0c91419146f78d864825?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,GB5KW1499822,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter",0.683,0.728,9.0,-8.92,1.0,0.259,0.568,5.08e-05,0.0384,0.833,75.311,4.0,,Sanctuary Records,"C © 2014 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2014 Sanctuary Records Group Ltd., a BMG Company",2014
6,spotify:track:0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),"spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:26VFTg2z8YR0cCuwLzESi2, spotify:artist:6LuN9FCkKOj5PcnpouEgny","benny blanco, Halsey, Khalid",spotify:album:7pkLXlFdpQDfmHujT2AbBK,Eastside (with Halsey & Khalid),"spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:26VFTg2z8YR0cCuwLzESi2, spotify:artist:6LuN9FCkKOj5PcnpouEgny","benny blanco, Halsey, Khalid",2018-07-12,https://i.scdn.co/image/ab67616d0000b2733154f0bdf9a17385d7afc6ba,1,1,173799,https://p.scdn.co/mp3-preview/24726be4c89b67eab298a72560b637581450421c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,78,USUM71809132,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,electropop,etherpop,indie poptimism,pop,pop,pop r&b",0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,4.0,,Benny Blanco Solo Album PS,"C © 2018 Friends Keep Secrets/Interscope Records, P ℗ 2018 Friends Keep Secrets/Interscope Records",2018
9,spotify:track:3OalxlWH0v14kyBcNBMINt,Mercy,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,spotify:album:0S9QJQiRmG9JYYfJfKqhDF,Illuminate (Deluxe),spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,2016-09-23,https://i.scdn.co/image/ab67616d0000b2738a24ed638eedd60514a789ef,1,2,208733,,False,0,USUM71603531,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"canadian pop,pop,viral pop",0.562,0.681,11.0,-4.934,0.0,0.0871,0.113,0.0,0.11,0.357,148.064,4.0,,Universal Music Group,"C © 2016 Island Records, a division of UMG Recordings, Inc., P ℗ 2016 Island Records, a division of UMG Recordings, Inc.",2016
10,spotify:track:0CtkjgZpkgnW7U6WmHsakD,It's Like That,"spotify:artist:3CQIn7N5CuRDP8wEI7FiDA, spotify:artist:5w0ka9nPOmEH6CcZrutyP2","Run–D.M.C., Jason Nevins",spotify:album:3bRdFxQZdU5g6VjLq8KaU7,The Greatest Hits,spotify:artist:3CQIn7N5CuRDP8wEI7FiDA,Run–D.M.C.,2002-09-10,https://i.scdn.co/image/ab67616d0000b273a4ad282a80ca274058a0618d,1,1,250626,https://p.scdn.co/mp3-preview/96c34eb444ca9d7fb771afc47a1fd85c556eda29?cid=9950ac751e34487dbbe027c4fd7f8e99,False,68,USAR19700609,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"east coast hip hop,golden age hip hop,hip hop,old school hip hop,queens hip hop,rap",0.852,0.874,7.0,-11.208,1.0,0.0427,0.0168,0.45,0.133,0.666,129.029,4.0,,Arista,P (P) 2003 BMG UK & Ireland Ltd,2002
11,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,spotify:artist:2RTUTCvo6onsAnheUk3aL9,3 Doors Down,spotify:album:72olNArm75vOycSziqIX9Y,Away From The Sun,spotify:artist:2RTUTCvo6onsAnheUk3aL9,3 Doors Down,2002-11-12,https://i.scdn.co/image/ab67616d0000b27383c39b0d32eb4a2064e1e228,1,6,238733,https://p.scdn.co/mp3-preview/9b68307f4204ff0342561d75a6c48312abb3e0d3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,80,USUR10200764,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"alternative metal,nu metal,post-grunge,rock",0.557,0.533,10.0,-6.817,0.0,0.0252,0.0492,0.0,0.205,0.233,143.994,4.0,,Universal Records,"C © 2002 Universal Records, a Division of UMG Recordings, Inc., P ℗ 2002 Universal Motown Records, a division of UMG Recordings, Inc.",2002
12,spotify:track:09tyJ0VvbLty84iHIV3WQn,Listen to the Band - Single Version,spotify:artist:320EPCSEezHt1rtbfwH6Ck,The Monkees,spotify:album:338yWfNJWW2SXxVfIdczUD,The Best of The Monkees,spotify:artist:320EPCSEezHt1rtbfwH6Ck,The Monkees,2003,https://i.scdn.co/image/ab67616d0000b2730b74e9fcbe76d8245535a207,1,25,149106,https://p.scdn.co/mp3-preview/c88eb650c0b16be4fe5da73029859ae026a3865c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,31,USRH10281208,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,heartland rock,mellow gold,psychedelic rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop",0.26,0.659,2.0,-8.98,1.0,0.0625,0.114,2.95e-05,0.499,0.537,184.38,4.0,,Rhino,"C © 2003 Warner Strategic Marketing. Warner Music Group, an AOL Time Warner Co., P ℗ 2003 Warner Strategic Marketing. Warner Music Group, an AOL Time Warner Co.",2003
14,spotify:track:6K8qKeWo5MsFED7wCR6Kop,Sing,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:album:1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2014-06-21,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,1,3,235382,https://p.scdn.co/mp3-preview/6427953465d954b73d4b2bebec48d01b806ba8f4?cid=9950ac751e34487dbbe027c4fd7f8e99,False,73,GBAHS1400082,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,singer-songwriter pop,uk pop",0.818,0.67,8.0,-4.451,0.0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,4.0,,Atlantic Records UK,"C © 2014 Asylum Records UK, a Warner Music UK Company, P ℗ 2014 Asylum Records UK, a Warner Music UK Company, except track 16 2013 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",2014
16,spotify:track:2760p399WNJLX9LGBkjL4Z,Flava,spotify:artist:2C0Cu6wbLYQyXl8MDwH2JE,Nathaniel,spotify:album:0RsPmRzTbarQCXBgLSW5Ox,Yours,spotify:artist:2C0Cu6wbLYQyXl8MDwH2JE,Nathaniel,2016-01-01,https://i.scdn.co/image/ab67616d0000b273c911d9842660be1965a41daf,1,2,185266,https://p.scdn.co/mp3-preview/1725984aad26a01d4d324b5e41d2c995323fe00a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,5,AUBM01500025,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian pop,australian talent show",0.813,0.754,4.0,-3.911,0.0,0.0494,0.166,0.0,0.121,0.923,112.962,4.0,,DNA Songs/Sony Music Entertainment,P (P) 2015 DNA Songs/ Sony Music Entertainment Australia Pty Ltd.,2016
17,spotify:track:5yJCo7EewUcX9qj5nnk9O2,Baby Sittin' Boogie - Radio Version,spotify:artist:4Z1spMbjudmqwjyBPleP7s,Buzz Clifford,spotify:album:1LL6GWTsMYiRc0fwGfoU3h,Rock & Roll 50s & 60s Mix,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2016-10-01,https://i.scdn.co/image/ab67616d0000b27325a738dc864174811aa67d1b,1,24,122958,https://p.scdn.co/mp3-preview/6798b36f687e65889d4987e0dd3b3508b9c0647f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,6,DEAR41442794,spotify:user:bradnumber1,2021-08-08T09:26:31Z,,0.483,0.533,6.0,-9.883,1.0,0.145,0.805,0.0,0.161,0.878,140.11,4.0,,Rock Miramike,"C 2016 Rock Miramike, P 2016 Rock Miramike",2016
18,spotify:track:2uiyVyP0Rvl0MgB8ehoc07,Dr. Love,spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa,Tina Charles,spotify:album:60XZbb6xRKj7waYqeJi3wz,Dance Little Lady,spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa,Tina Charles,2012-03-20,https://i.scdn.co/image/ab67616d0000b273327142437c88efaea2c92823,1,2,189320,https://p.scdn.co/mp3-preview/7474cf366ef5526e444fd9b78bb70abd3ee4acb9?cid=9950ac751e34487dbbe027c4fd7f8e99,False,15,GBQRF1119559,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"disco,hi-nrg",0.736,0.563,2.0,-13.837,1.0,0.0312,0.0165,0.0,0.166,0.96,102.021,4.0,,Dressed 2 Kill - OMP,C 2012 One Media Publishing,2012
19,spotify:track:2J22VgQALSoekF3KCj1nIk,Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),"spotify:artist:0SCbttzoZTnLFebDYmAWCm, spotify:artist:4njFVSUWyxD84ur7w8Oy7h","Glee Cast, Gwyneth Paltrow",spotify:album:21c5423eTa6tKyMs9DKGW7,Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),spotify:artist:0SCbttzoZTnLFebDYmAWCm,Glee Cast,2011-03-08,https://i.scdn.co/image/ab67616d0000b2733ca397d1402604db8256d98f,1,1,226760,,False,0,USQX91100225,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"glee club,post-teen pop",0.637,0.416,2.0,-7.595,1.0,0.0269,0.434,0.0,0.139,0.588,145.922,4.0,,Columbia,P (P) 2011 Twentieth Century Fox Film Corporation,2011
20,spotify:track:1O0BTayCdWgQYAYYUynSpe,I'm Free,"spotify:artist:5BEYGWk6aPdNXxBx9pwU8S, spotify:artist:0qPUDOVD0aYR2lmCilnscs","The Soup Dragons, Junior Reid",spotify:album:6WLRzKWVxm6qPEUBMVG5cH,20 Golden Greats,spotify:artist:5BEYGWk6aPdNXxBx9pwU8S,The Soup Dragons,2012,https://i.scdn.co/image/ab67616d0000b2736c7cafd01f0541a44b794dda,1,2,211693,,False,0,GBUM71104914,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"britpop,c86,madchester,scottish indie,lovers rock,old school dancehall,reggae,reggae fusion,roots reggae",0.648,0.936,7.0,-5.968,1.0,0.0797,0.0981,2.24e-05,0.0712,0.856,103.272,4.0,,Universal Music Group,"C © 2012 Mercury Records Limited, P ℗ 2012 Mercury Records Limited",2012
21,spotify:track:1PWnAEQcbwQwK759otUbta,"Writing's On The Wall - From ""Spectre"" Soundtrack",spotify:artist:2wY79sveU1sp5g7SokKOiI,Sam Smith,spotify:album:50bQvrNAFsAaIbqCcfD7FT,Writing's On The Wall,spotify:artist:2wY79sveU1sp5g7SokKOiI,Sam Smith,2015-09-25,https://i.scdn.co/image/ab67616d0000b2737fb4266023aacbea214d8b56,1,1,278987,https://p.scdn.co/mp3-preview/bf3cb5ef872faafce3d59468a538dcd98a4cbfa2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,68,GBUM71505354,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,uk pop",0.261,0.302,5.0,-8.19,0.0,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,3.0,,Capitol,"C © 2015 Capitol Records, a division of Universal Music Operations Limited, P ℗ 2015 Capitol Records, a division of Universal Music Operations Limited",2015
23,spotify:track:6YndZBGmLySgsVScckWkmO,Take Yourself Home,spotify:artist:3WGpXCj9YhhfX11TToZcXP,Troye Sivan,spotify:album:0F9bpInUaHGru63OHqBuQ8,Take Yourself Home,spotify:artist:3WGpXCj9YhhfX11TToZcXP,Troye Sivan,2020-04-01,https://i.scdn.co/image/ab67616d0000b27316ae382f29670572f8931a75,1,1,249369,,False,0,AUUM72000197,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian pop,pop,viral pop",0.364,0.606,5.0,-9.188,0.0,0.0831,0.0748,0.000322,0.106,0.289,99.73,4.0,,EMI Recorded Music Australia Pty Ltd,"C © 2020 Universal Music Australia Pty Ltd., P An EMI Recorded Music Australia Production; ℗ 2020 Universal Music Australia Pty Ltd.",2020
24,spotify:track:3yDhZq8f17SmumVmEyCaRN,Give It Up,spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,KC & The Sunshine Band,spotify:album:52BJ1S5NOv7eFD6ZFDZga2,All In a Night's Work (Expanded Version),spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,KC & The Sunshine Band,2016-03-11,https://i.scdn.co/image/ab67616d0000b273070bc5edcb93d3f394b9445d,1,3,254240,https://p.scdn.co/mp3-preview/bc1799859837b5c829f3037bfefdb162b6309ba2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,73,USSM19801505,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"disco,mellow gold,new wave pop,soft rock,soul",0.862,0.624,3.0,-11.63,1.0,0.0565,0.0192,0.000153,0.0465,0.882,124.896,4.0,,Epic/Legacy,"P This compilation (P) 2015 Epic Records, a division of Sony Music Entertainment",2016
25,spotify:track:4X8KnalmdKJE4C0vMb8CmD,Homecoming,spotify:artist:6we2CCxymhh4v30lZRhhpa,Hey Monday,spotify:album:5BNmZXVJX3h8WbtXyRTRln,Hold On Tight,spotify:artist:6we2CCxymhh4v30lZRhhpa,Hey Monday,2008-10-07,https://i.scdn.co/image/ab67616d0000b273dd1d9e19cfe34dac93983739,1,3,238733,https://p.scdn.co/mp3-preview/7ed0314db4d00d664e339aecad532e5d4d87cb77?cid=9950ac751e34487dbbe027c4fd7f8e99,False,47,USSM10803206,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"candy pop,neon pop punk,pixie,pop emo,pop punk",0.393,0.958,2.0,-2.102,1.0,0.0871,0.00966,0.0,0.214,0.323,150.074,4.0,,Decaydance/Columbia,P (P) 2008 SONY BMG MUSIC ENTERTAINMENT,2008
